UID,Ano_Criacao,Sigla_IF,Nome_IF,Campus_IF,Tipo_Unidade,Regioes,UF,Municipio,Endereco_Padronizado,CEP,Telefone,E-mail,Site,Dirigente,Fonte
ifpe_campus_vitoria_de_santo_antao,2008,IFPE,Instituto Federal de Pernambuco,Campus Vitória de Santo Antão,Campus,Nordeste,PE,Vitória de Santo Antão,"Propriedade Terra Preta, S/N, Zona Rural, Vitória de Santo Antão, PE, 55602-970",55602-970,(81) 3114-1981,gabinete@vitoria.ifpe.edu.br,https://portal.ifpe.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/pernambuco
if_sertao_pe_reitoria_do_instituto_federal_do_sertao_pernambucano,,IF Sertão-PE,Instituto Federal do Sertão Pernambucano,Reitoria do Instituto Federal do Sertão Pernambucano,Reitoria,Nordeste,PE,Petrolina,"Rua Aristarco Lopes, 240, Centro, Petrolina, PE, 56302-100",56302-100,(87) 2101-2350,reitoria@ifsertao-pe.edu.br,www.ifsertao-pe.edu.br,Jean Carlos Coelho d e Alencar,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/pernambuco
if_sertao_pe_campus_floresta,2010,IF Sertão-PE,Instituto Federal do Sertão Pernambucano,Campus Floresta,Campus,Nordeste,PE,Floresta,"Rua Projetada, s/n. Caetano II, Floresta, PE, 56400-000",56400-000,(87) 3877-2797,cf.direcao@ifsertao-pe.edu.br,www.ifsertao-pe.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/pernambuco
if_sertao_pe_campus_ouricuri,2010,IF Sertão-PE,Instituto Federal do Sertão Pernambucano,Campus Ouricuri,Campus,Nordeste,PE,Ouricuri,"Estrada do Tamboril, s/n, Ouricuri, PE, 56200-000",56200-000,(87) 2101-4300,co.direcao@ifsertao-pe.edu.br,www.ifsertao-pe.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/pernambuco
if_sertao_pe_campus_petrolina,1988,IF Sertão-PE,Instituto Federal do Sertão Pernambucano,Campus Petrolina,Campus,Nordeste,PE,Petrolina,"Rodovia BR-407, KM 8, Jardim São Paulo, Petrolina, PE, 56314-520",56314-520,(87) 2101-4300,cp.sca@ifsertao-pe.edu.br,www.ifsertao-pe.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/pernambuco
if_sertao_pe_campus_petrolina_zona_rural,1988,IF Sertão-PE,Instituto Federal do Sertão Pernambucano,Campus Petrolina Zona Rural,Campus,Nordeste,PE,Petrolina,"Rodovia BR 235, Km 22, Projeto Senador Nilo Coelho - N4, Petrolina, PE, 56300-000",56300-000,(87) 2101-8050,czr.direcao@ifsertao-pe.edu.br,www.ifsertao-pe.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/pernambuco
if_sertao_pe_campus_salgueiro,2010,IF Sertão-PE,Instituto Federal do Sertão Pernambucano,Campus Salgueiro,Campus,Nordeste,PE,Salgueiro,"Rodovia BR 232, Km 508, sentido Recife, Salgueiro, PE, 56000-000",56000-000,(87) 3421-0050,cs.comunicacao@ifsertao-pe.edu.br,www.ifsertao-pe.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/pernambuco
if_sertao_pe_campus_santa_maria_da_boa_vista,2014,IF Sertão-PE,Instituto Federal do Sertão Pernambucano,Campus Santa Maria da Boa Vista,Campus,Nordeste,PE,Santa Maria da Boa Vista,"Rodovia BR 428, km 90, s/n, Santa Maria da Boa Vista, PE, 56380-000",56380-000,(87) 3869-2920,csm.direcao@ifsertao-pe.edu.br,www.ifsertao-pe.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/pernambuco
if_sertao_pe_campus_serra_talhada,2014,IF Sertão-PE,Instituto Federal do Sertão Pernambucano,Campus Serra Talhada,Campus,Nordeste,PE,Serra Talhada,"Rodovia PE 320, KM 126, bs/n, Serra Talhada, PE, 56912-140",56912-140,(87) 9 8866-1978,cst.comunicacao@ifsertao-pe.edu.br,www.ifsertao-pe.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/pernambuco
nan_colegio_agricola_dom_agostinho_ikas_universidade_federal_rural_de_pernambuco_ufrpe,,,Colégio Agrícola Dom Agostinho Ikas – Universidade Federal Rural de Pernambuco (Ufrpe),Colégio Agrícola Dom Agostinho Ikas – Universidade Federal Rural de Pernambuco (Ufrpe),Colégio Agrícola,Nordeste,PE,São Lourenço da Mata,"Avenida Doutor Francisco Correia, 643, Centro, São Lourenço da Mata, PE, 54735-000",54735-000,(81) 3320 6886,diretoria.codai@ufrpe.br,http://www.codai.ufrpe.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/pernambuco
ifac_reitoria_do_instituto_federal_do_acre,,IFAC,Instituto Federal do Acre,Reitoria do Instituto Federal do Acre,Reitoria,Norte,AC,Rio Branco,"Via Chico Mendes, Areal, Rio Branco, AC, 69906-302",69906-302,(68) 3223-8298,reitoria@ifac.edu.br,https://www.ifac.edu.br/,Fábio Storch de Oliveira,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/acre
ifac_campus_cruzeiro_do_sul,2010,IFAC,Instituto Federal do Acre,Campus Cruzeiro do Sul,Campus,Norte,AC,Cruzeiro do Sul,"Rua Paraná, 25 de agosto, Cruzeiro do Sul, AC",,(49) 9982-0966,None,https://www.ifac.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/acre
ifac_campus_rio_branco,2010,IFAC,Instituto Federal do Acre,Campus Rio Branco,Campus,Norte,AC,Rio Branco,"Av. Brasil, Xavier Maia, Rio Branco, AC, 69914-610",69914-610,(68) 2106-5910,None,https://www.ifac.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/acre
ifac_campus_rio_branco_baixada_do_sol,2014,IFAC,Instituto Federal do Acre,Campus Rio Branco Baixada do Sol,Campus,Norte,AC,Rio Branco,"Rua Rio Grande do Sul, Aeroporto Velho, Rio Branco, AC, 69911-030",69911-030,(68) 3224-6816,reitoria@ifac.edu.br,https://www.ifac.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/acre
ifac_campus_sena_madureira,2010,IFAC,Instituto Federal do Acre,Campus Sena Madureira,Campus,Norte,AC,Sena Madureira,"TRAVESSA GUILHERME, Pista, Sena Madureira, AC, 69940-970",69940-970,(68) 3612-2797,None,https://www.ifac.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/acre
ifac_campus_tarauaca,2013,IFAC,Instituto Federal do Acre,Campus Tarauacá,Campus,Norte,AC,Tarauacá,"Rua Coronel Juvêncio de Menezes, Rua João Pessoa esq c/ rua João de Paiva, Bairro Senador Pompeu, Centro, Tarauacá, AC, 69970-000",69970-000,(68) 3462-1709,None,https://www.ifac.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/acre
ifac_campus_xapuri,2013,IFAC,Instituto Federal do Acre,Campus Xapuri,Campus,Norte,AC,Xapuri,"Rua Seis de Agosto, Centro, Xapuri, AC, 69930-000",69930-000,( 68) 3542-2083,None,https://www.ifac.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/acre
ifal_reitoria_do_instituto_federal_de_alagoas,,IFAL,Instituto Federal de Alagoas,Reitoria do Instituto Federal de Alagoas,Reitoria,Nordeste,AL,Maceió,"Rua Odilon Vasconcelos 103 (Esquina com Av. Júlio Marques Luz), Ao lado do Colégio Santa Úrsula, Jatiúca, Maceió, AL, 57035-350",57035-350,(82) 3194-1195,secgab@ifal.edu.br,www.ifal.edu.br,Carlos Guedes de Lacerda,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/alagoas
ifal_campus_arapiraca,2010,IFAL,Instituto Federal de Alagoas,Campus Arapiraca,Campus,Nordeste,AL,Arapiraca,"Rodovia AL-110, Próximo Rotatória Polícia Rodoviária Estadual - Acesso Taquarana, Senador Arnon de Melo, Arapiraca, AL, 57302-045",57302-045,(82) 3194-1150,None,www.ifal.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/alagoas
ifal_campus_avancado_maceio_benedito_bentes,2016,IFAL,Instituto Federal de Alagoas,Campus Avançado Maceió Benedito Bentes,Campus Avançado,Nordeste,AL,Maceió,"Avenida Benedito Bentes, Benedito Bentes, Maceió, AL, 57084-651",57084-651,(82) 2126-6230,None,www.ifal.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/alagoas
ifal_campus_batalha,2014,IFAL,Instituto Federal de Alagoas,Campus Batalha,Campus,Nordeste,AL,Batalha,"Rua Governador Afrânio Lages, Centro, Batalha, AL, 57420-000",57420-000,(82) 2126-6222,None,www.ifal.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/alagoas
ifal_campus_coruripe,2014,IFAL,Instituto Federal de Alagoas,Campus Coruripe,Campus,Nordeste,AL,Coruripe,"Rua Maria Petrucia dos Santos, Zequinha Azevedo, Coruripe, AL, 57230-000",57230-000,(82) 3194-1150,None,www.ifal.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/alagoas
ifal_campus_maceio,1909,IFAL,Instituto Federal de Alagoas,Campus Maceió,Campus,Nordeste,AL,Maceió,"Rua Mizael Domingues, Esquina com a Rua Barão de Atalaia, Centro, Maceió, AL, 57020-600",57020-600,(82) 2126-7000,None,www.ifal.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/alagoas
ifal_campus_maragogi,2008,IFAL,Instituto Federal de Alagoas,Campus Maragogi,Campus,Nordeste,AL,Maragogi,"Rua Luiz Holanda Cavalcante, , Centro, Maragogi, AL, 57955-000",57955-000,(82) 2126-6270,None,www.ifal.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/alagoas
ifal_campus_marechal_deodoro,1995,IFAL,Instituto Federal de Alagoas,Campus Marechal Deodoro,Campus,Nordeste,AL,Marechal Deodoro,"Rua Lourival Alfredo, Antiga Rua da Matança, POEIRA, Marechal Deodoro, AL, 57160-000",57160-000,(82) 3263-1100,None,www.ifal.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/alagoas
ifal_campus_murici,2015,IFAL,Instituto Federal de Alagoas,Campus Murici,Campus,Nordeste,AL,Murici,"Avenida Presidente Vargas, Loteamento Prefeito Pedro Tenório Raposo, Rodovia BR 104, Centro, Murici, AL, 57820-000",57820-000,(82) 3194-1150,None,www.ifal.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/alagoas
ifal_campus_palmeira_dos_indios,1992,IFAL,Instituto Federal de Alagoas,Campus Palmeira dos Índios,Campus,Nordeste,AL,Palmeira dos Índios,"Avenida Alagoas, Av. das Alagoas, s/nº - Palmeira de Fora, Palmeira dos Índios, AL, 57601-220",57601-220,(82) 3194-1150,None,www.ifal.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/alagoas
ifal_campus_penedo,2010,IFAL,Instituto Federal de Alagoas,Campus Penedo,Campus,Nordeste,AL,Penedo,"Rodovia Engenheiro Joaquim Gonçalves, , Dom Constantino, Penedo, AL, 57200-000",57200-000,(82) 3194-1150,None,www.ifal.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/alagoas
ifal_campus_piranhas,2012,IFAL,Instituto Federal de Alagoas,Campus Piranhas,Campus,Nordeste,AL,Piranhas,"AVENIDA SERGIPE, Próximo ao antigo Clube Atalaia, XINGÓ, Piranhas, AL, 57460-000",57460-000,(82) 3194-1150,None,www.ifal.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/alagoas
ifal_campus_rio_largo,2014,IFAL,Instituto Federal de Alagoas,Campus Rio Largo,Campus,Nordeste,AL,Rio Largo,"Aeroporto Zumbi dos Palmares, antigo espaço Reviver, Tabuleiro do Pinto, Rio Largo, AL, 57100-000",57100-000,(82) 3194-1150,None,www.ifal.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/alagoas
ifal_campus_santana_do_ipanema,2013,IFAL,Instituto Federal de Alagoas,Campus Santana do Ipanema,Campus,Nordeste,AL,Santana do Ipanema,"BR 316, Km 87,5, Centro, Santana do Ipanema, AL, 57500-000",57500-000,(82) 2126-6470,None,www.ifal.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/alagoas
ifal_campus_sao_miguel_dos_campos,2013,IFAL,Instituto Federal de Alagoas,Campus São Miguel dos Campos,Campus,Nordeste,AL,São Miguel dos Campos,"Rua Visconde de Sinimbu, , Centro, São Miguel dos Campos, AL, 57240-000",57240-000,(82) 3194-1150,None,www.ifal.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/alagoas
ifal_campus_satuba,1911,IFAL,Instituto Federal de Alagoas,Campus Satuba,Campus,Nordeste,AL,Satuba,"Satuba, RUA 17 DE AGOSTO , CENTRO, Satuba, AL, 57120-000",57120-000,(82) 2126-6500,None,www.ifal.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/alagoas
ifal_campus_vicosa,2014,IFAL,Instituto Federal de Alagoas,Campus Viçosa,Campus,Nordeste,AL,Viçosa,"Rua Mota Lima, Centro, Viçosa, AL, 57700-000",57700-000,(82) 3194-1171,None,www.ifal.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/alagoas
ifal_escola_tecnica_de_artes_ufal,,IFAL,Instituto Federal de Alagoas,Escola Técnica de Artes/Ufal,Outros,Nordeste,AL,Maceió,"Praça Visconde de Sinimbú, Centro, Maceió, AL, 57020-720",57020-720,(82) 3214-1614,secretaria@eta.ufal.br,www.ifal.edu.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/alagoas
ifap_reitoria_do_instituto_federal_do_amapa,,IFAP,Instituto Federal do Amapá,Reitoria do Instituto Federal do Amapá,Reitoria,Norte,AP,Macapá,"Rodovia BR-210, Reitoria, Brasil Novo, Macapá, AP, 68909-398",68909-398,(96) 3198-2152,reitoria@ifap.edu.br,https://www.ifap.edu.br/,Romaro Antonio Silva,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amapa
ifap_campus_oiapoque,2016,IFAP,Instituto Federal do Amapá,Campus Oiapoque,Campus,Norte,AP,Oiapoque,"Rua Joaquim Caetano da Silva, antigo hotel de Trânsito do Governo do Estado do Amapá., Centro, Oiapoque, AP, 68980-000",68980-000,(96) 3521-1334,None,https://www.ifap.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amapa
ifap_campus_laranjal_do_jari,2010,IFAP,Instituto Federal do Amapá,Campus Laranjal do Jari,Campus,Norte,AP,Laranjal do Jari,"Rua Nilo Peçanha, CAMPUS, CAJARI, Laranjal do Jari, AP, 68920-000",68920-000,(96) 9181-2165,None,https://www.ifap.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amapa
ifap_campus_macapa,2010,IFAP,Instituto Federal do Amapá,Campus Macapá,Campus,Norte,AP,Macapá,"Rodovia BR-210, KM 3, Brasil Novo, Macapá, AP, 68909-398",68909-398,(96) 3223-5510,None,https://www.ifap.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amapa
ifap_campus_porto_grande,2016,IFAP,Instituto Federal do Amapá,Campus Porto Grande,Campus,Norte,AP,Porto Grande,"Rua Getúlio Vargas, RODOVIA BR 210, KM 103, S/N, REITOR DOS PINHAIS, GLEBA MATAPI, Porto Grande, AP, 68997-000",68997-000,(96) 3198-2152,None,https://www.ifap.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amapa
ifap_campus_santana,2015,IFAP,Instituto Federal do Amapá,Campus Santana,Campus,Norte,AP,Santana,"Rodovia Duca Serra, Nova Brasília, Santana, AP, 68925-000",68925-000,(96) 9151-2695,None,https://www.ifap.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amapa
ifap_campus_pedra_branca_do_amapari,,IFAP,Instituto Federal do Amapá,Campus Pedra Branca do Amapari,Campus,Norte,AP,Bairro Central Pedra Branca d o Amapari,"Avenida Francisco Dutra, s/n, Bairro Central Pedra Branca d o Amapari, AP, 68945-000",68945-000,None,coead.amapari@ifap.edu.br,https://www.ifap.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amapa
ifam_reitoria_do_instituto_federal_do_amazonas,,IFAM,Instituto Federal do Amazonas,Reitoria do Instituto Federal do Amazonas,Reitoria,Norte,AM,Manaus,"Rua Ferreira Pena, Centro, Manaus, AM, 69025-010",69025-010,(92) 3306-0003,deap.proplad@ifam.edu.br,http://www2.ifam.edu.br/,Jaime Cavalcante Alves,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amazonas
ifam_campus_avancado_manacapuru,2014,IFAM,Instituto Federal do Amazonas,Campus Avançado Manacapuru,Campus Avançado,Norte,AM,Manacapuru,"Estrada Manoel Urbano, km 77, Zona Rural, , Zona Rural, Manacapuru, AM, 69400-000",69400-000,(92) 99163-6052,None,http://www2.ifam.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amazonas
ifam_campus_coari,2006,IFAM,Instituto Federal do Amazonas,Campus Coari,Campus,Norte,AM,Coari,"Estrada do Itapeuá, Km 2, Itamaraty, Coari, AM, 69460-000",69460-000,(97) 3561-3330,None,http://www2.ifam.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amazonas
ifam_campus_eirunepe,2016,IFAM,Instituto Federal do Amazonas,Campus Eirunepé,Campus,Norte,AM,Eirunepé,"Rua Balneário, nº 118, Nossa Senhora de Fátima Eirunepé, AM, 69880-000",69880-000,(97) 3481-1353/3481-1217,None,http://www2.ifam.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amazonas
ifam_campus_humaita,2013,IFAM,Instituto Federal do Amazonas,Campus Humaitá,Campus,Norte,AM,Humaitá,"Rua Padre José de Souza Pena, RUA PEDRO DE ALCANTÂRA BACELAR, São Pedro, Humaitá, AM, 69800-000",69800-000,(92) 9188-4021,None,http://www2.ifam.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amazonas
ifam_campus_itacoatiara,2016,IFAM,Instituto Federal do Amazonas,Campus Itacoatiara,Campus,Norte,AM,Itacoatiara,"Rua Borba, , Pedreiras, Itacoatiara, AM, 69101-030",69101-030,(92) 8187-5776,None,http://www2.ifam.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amazonas
ifam_campus_labrea,2010,IFAM,Instituto Federal do Amazonas,Campus Lábrea,Campus,Norte,AM,Lábrea,"RUA 22 DE OUTUBRO, , VILLA FALCÃO, Lábrea, AM, 69830-000",69830-000,(97) 3331-2064,None,http://www2.ifam.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amazonas
ifam_campus_manaus_centro,1909,IFAM,Instituto Federal do Amazonas,Campus Manaus Centro,Campus,Norte,AM,Manaus,"Avenida 7 de Setembro, Centro, Manaus, AM, 69020-120",69020-120,(92) 3621-6700,None,http://www2.ifam.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amazonas
ifam_campus_manaus_distrito_industrial,1992,IFAM,Instituto Federal do Amazonas,Campus Manaus Distrito Industrial,Campus,Norte,AM,Manaus,"Avenida Danilo Matos Areosa, , Distrito Industrial, Manaus, AM, 69075-350",69075-350,(92) 3237-5800,None,http://www2.ifam.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amazonas
ifam_campus_manaus_zona_leste,1940,IFAM,Instituto Federal do Amazonas,Campus Manaus Zona Leste,Campus,Norte,AM,Manaus,"Avenida Cosme Ferreira, Gilberto Mestrinho, Manaus, AM, 69086-475",69086-475,(92) 9843-5005,None,http://www2.ifam.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amazonas
ifam_campus_maues,2010,IFAM,Instituto Federal do Amazonas,Campus Maués,Campus,Norte,AM,Maués,"Estrada dos Moraes, Senador José Esteves, Maués, AM, 69190-000",69190-000,(92) 99420-8503,None,http://www2.ifam.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amazonas
ifam_campus_parintins,2010,IFAM,Instituto Federal do Amazonas,Campus Parintins,Campus,Norte,AM,Parintins,"Estrada Odovaldo Novo, Djard Vieira, Parintins, AM, 69152-470",69152-470,(92) 5333-4607,None,http://www2.ifam.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amazonas
ifam_campus_presidente_figueiredo,2010,IFAM,Instituto Federal do Amazonas,Campus Presidente Figueiredo,Campus,Norte,AM,Presidente Figueiredo,"AVENIDA ONÇA PINTADA, , GALO DA SERRA, Presidente Figueiredo, AM, 69735-000",69735-000,(92) 3324-1030,None,http://www2.ifam.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amazonas
ifam_campus_sao_gabriel_da_cachoeira,1993,IFAM,Instituto Federal do Amazonas,Campus São Gabriel da Cachoeira,Campus,Norte,AM,São Gabriel da Cachoeira,"BR 307, KM 0, BAIRRO CACHOEIRINHA, Centro, São Gabriel da Cachoeira, AM, 69750-000",69750-000,(97) 3471-1894,None,http://www2.ifam.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amazonas
ifam_campus_tabatinga,2010,IFAM,Instituto Federal do Amazonas,Campus Tabatinga,Campus,Norte,AM,Tabatinga,"Avenida SANTOS DUMONT, BAIRRO VILA VERDE, Centro, Tabatinga, AM, 69640-000",69640-000,(97) 3412-5142,None,http://www2.ifam.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amazonas
ifam_campus_tefe,2016,IFAM,Instituto Federal do Amazonas,Campus Tefé,Campus,Norte,AM,Tefé,"Beco João Estéfano, PRÉDIO DA ESCOLA MUNICIPAL LUZIVALDO CASTRO - PÓLO UAB , São José, Tefé, AM, 69552-565",69552-565,(92) 8419-2030,None,http://www2.ifam.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amazonas
ifam_campus_avancado_boca_do_acre,2018,IFAM,Instituto Federal do Amazonas,Campus Avançado Boca do Acre,Campus Avançado,Norte,AM,Boca do Acre,"Platô do Piquiá, Boca do Acre, AM, 69850-000",69850-000,(97) 99202-0164,None,http://www2.ifam.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amazonas
ifam_campus_iranduba,2018,IFAM,Instituto Federal do Amazonas,Campus Iranduba,Campus,Norte,AM,Iranduba,"Rod. Carlos Braga, s/n , Km 1 , Zona Rural, Iranduba, AM, 69415-000",69415-000,None,None,http://www2.ifam.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amazonas
ifam_polo_de_inovacao_manaus,2021,IFAM,Instituto Federal do Amazonas,Polo de Inovação Manaus,Polo de Inovação,Norte,AM,Manaus,"Av. Gov. Danilo de Matos Areosa,1672 . Distrito Industrial I CEP: 69075-351",69075-351,(92) 98234-1153,None,http://www2.ifam.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/amazonas
ifba_reitoria_do_instituto_federal_da_bahia,,IFBA,Instituto Federal da Bahia,Reitoria do Instituto Federal da Bahia,Reitoria,Nordeste,BA,Salvador,"Avenida Araújo Pinho, Canela, Salvador, BA, 40110-150",40110-150,(71) 2102-0414,gabinete@ifba.edu.br,https://portal.ifba.edu.br/,Luzia Matos Mota,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/bahia
ifba_campus_avancado_ubaitaba,2015,IFBA,Instituto Federal da Bahia,Campus Avançado Ubaitaba,Campus Avançado,Nordeste,BA,Ubaitaba,"Rua Renato Laport, S/N, Centro, Ubaitaba, BA, 45545-000",45545-000,(73) 3230-1772,dg.ubt@ifba.edu.br,https://portal.ifba.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/bahia
ifba_campus_barreiras,1993,IFBA,Instituto Federal da Bahia,Campus Barreiras,Campus,Nordeste,BA,Barreiras,"Rua Gileno de Sá Oliveira, 271 - Recanto dos Pássaros, Barreiras, BA, 47808-006",47808-006,(77) 3612-9650,barreiras@ifba.edu.br,https://portal.ifba.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/bahia
ifba_campus_brumado,2013,IFBA,Instituto Federal da Bahia,Campus Brumado,Campus,Nordeste,BA,Brumado,"Rua Francisco Manoel da Cruz, s/n. São José, Brumado, BA, 46100-000",46100-000,(77) 3441-1607,gabinete.bmd@ifba.edu.br,https://portal.ifba.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/bahia
ifba_campus_camacari,2007,IFBA,Instituto Federal da Bahia,Campus Camaçari,Campus,Nordeste,BA,Camaçari,"Loteamento Espaço Alpha, s/n. Limoeiro, Camaçari, BA, 42800-590",42800-590,(71) 3621-0708,dg.camacari@ifba.edu.br,https://portal.ifba.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/bahia
ifba_campus_campo_formoso,,IFBA,Instituto Federal da Bahia,Campus Campo Formoso,Campus,Nordeste,BA,Campo Formoso,"BA-220 - Sítio Esplanada, Campo Formoso, BA, 44790-000",44790-000,(74) 9117-8848,gabinete@ifba.edu.br,https://portal.ifba.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/bahia
ifba_campus_euclides_da_cunha,2015,IFBA,Instituto Federal da Bahia,Campus Euclides da Cunha,Campus,Nordeste,BA,Euclides da Cunha,"Avenida Renato Campos, n.º 900, Nossa Senhora da Conceição, Euclides da Cunha, BA, 48500-000",48500-000,(75) 99810-7934,gabinete.euc@ifba.edu.br,https://portal.ifba.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/bahia
ifba_campus_eunapolis,1993,IFBA,Instituto Federal da Bahia,Campus Eunápolis,Campus,Nordeste,BA,Eunápolis,"Avenida David Jonas Fadini, s/n. Rosa Neto, Eunápolis, BA, 45823-431",45823-431,(73) 3281-2266,chgab-eun@ifba.edu.br,https://portal.ifba.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/bahia
ifba_campus_feira_de_santana,2011,IFBA,Instituto Federal da Bahia,Campus Feira de Santana,Campus,Nordeste,BA,Feira de Santana,"Avenida Deputado Luís Eduardo Magalhães, Rod BR 324 – KM102, 11, Aviário Feira de Santana, BA, 44020-355",44020-355,(75) 3221-6475,diretoriageral.fsa@ifba.edu.br,https://portal.ifba.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/bahia
ifba_campus_ilheus,2011,IFBA,Instituto Federal da Bahia,Campus Ilhéus,Campus,Nordeste,BA,Ilhéus,"Rodovia Ilhéus-Itabuna, km 13, Ilhéus, BA, 45671-700",45671-700,(73) 3656-5134,dgilheus@ifba.edu.br,https://portal.ifba.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/bahia
ifba_campus_irece,2010,IFBA,Instituto Federal da Bahia,Campus Irecê,Campus,Nordeste,BA,Irecê,"Rodovia BA 148, Km 04, Vila Esperança, Irecê, BA, 44900-000",44900-000,0800-0748000,campus-irece@ifba.edu.br,https://portal.ifba.edu.br/,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/bahia
